catalogNumber,tegula_cm,scale_cm,data_collector,Filename,notes,itd_corrected
UCSB-IZC00030820,0.21,0.502,alec,UCSB-IZC00030820.jpg,NA,0.2091633466135458
UCSB-IZC00030855,0.21,0.503,alec,UCSB-IZC00030855.jpg,NA,0.20874751491053678
UCSB-IZC00030859,0.161,0.498,alec,UCSB-IZC00030859.jpg,NA,0.16164658634538154
UCSB-IZC00030870,0.209,0.5,alec,UCSB-IZC00030870.jpg,NA,0.209
UCSB-IZC00030875,0.199,0.499,alec,UCSB-IZC00030875.jpg,NA,0.19939879759519039
UCSB-IZC00030895,0.224,0.503,alec,UCSB-IZC00030895.jpg,NA,0.22266401590457258
UCSB-IZC00031097,0.211,0.502,alec,UCSB-IZC00031097.jpg,NA,0.21015936254980078
UCSB-IZC00031172,0.184,0.503,alec,UCSB-IZC00031172.jpg,NA,0.18290258449304175
UCSB-IZC00031232,0.236,0.5,alec,UCSB-IZC00031232.jpg,NA,0.236
UCSB-IZC00031244,0.208,0.5,alec,UCSB-IZC00031244.jpg,NA,0.208
UCSB-IZC00031260,0.201,0.5,alec,UCSB-IZC00031260.jpg,NA,0.201
UCSB-IZC00033736,0.196,0.498,alec,UCSB-IZC00033736.jpg,NA,0.19678714859437751
UCSB-IZC00034068,0.211,0.5,alec,UCSB-IZC00034068.jpg,NA,0.211
UCSB-IZC00034388,0.153,0.502,alec,UCSB-IZC00034388.jpg,NA,0.15239043824701196
UCSB-IZC00034389,0.223,0.502,alec,UCSB-IZC00034389.jpg,NA,0.22211155378486055
UCSB-IZC00034393,0.144,0.502,alec,UCSB-IZC00034393.jpg,NA,0.14342629482071712
UCSB-IZC00034397,0.16,0.5,alec,UCSB-IZC00034397.jpg,NA,0.16
UCSB-IZC00034400,0.146,0.501,alec,UCSB-IZC00034400.jpg,NA,0.14570858283433133
UCSB-IZC00034403,0.203,0.5,alec,UCSB-IZC00034403.jpg,NA,0.203
UCSB-IZC00034405,0.166,0.5,alec,UCSB-IZC00034405.jpg,NA,0.166
UCSB-IZC00034406,0.178,0.498,alec,UCSB-IZC00034406.jpg,NA,0.178714859
UCSB-IZC00034407,0.221,0.501,alec,UCSB-IZC00034407.jpg,NA,0.22055888223552894
UCSB-IZC00034408,0.163,0.499,alec,UCSB-IZC00034408.jpg,NA,0.16332665330661322
UCSB-IZC00034410,0.153,0.498,alec,UCSB-IZC00034410.jpg,NA,0.1536144578313253
UCSB-IZC00034411,0.174,0.5,alec,UCSB-IZC00034411.jpg,NA,0.174
UCSB-IZC00034412,0.208,0.499,alec,UCSB-IZC00034412.jpg,NA,0.20841683366733466
UCSB-IZC00034413,0.164,0.501,alec,UCSB-IZC00034413.jpg,NA,0.16367265469061876
UCSB-IZC00034415,0.201,0.502,alec,UCSB-IZC00034415.jpg,NA,0.200199203
UCSB-IZC00034418,0.221,0.499,alec,UCSB-IZC00034418.jpg,NA,0.22144288577154309
UCSB-IZC00034421,0.198,0.497,alec,UCSB-IZC00034421.jpg,NA,0.19919517102615694
UCSB-IZC00034424,0.193,0.502,alec,UCSB-IZC00034424.jpg,NA,0.19223107569721115
UCSB-IZC00034425,0.184,0.5,alec,UCSB-IZC00034425.jpg,NA,0.184
UCSB-IZC00034434,0.194,0.499,alec,UCSB-IZC00034434.jpg,NA,0.19438877755511022
UCSB-IZC00034444,0.196,0.497,alec,UCSB-IZC00034444.jpg,NA,0.1971830985915493
UCSB-IZC00034445,0.206,0.502,alec,UCSB-IZC00034445.jpg,NA,0.20517928286852588
UCSB-IZC00034465,0.209,0.5,alec,UCSB-IZC00034465.jpg,NA,0.209
UCSB-IZC00034491,0.181,0.503,alec,UCSB-IZC00034491.jpg,NA,0.17992047713717693
UCSB-IZC00034503,0.174,0.503,alec,UCSB-IZC00034503.jpg,NA,0.17296222664015903
UCSB-IZC00034510,0.148,0.501,alec,UCSB-IZC00034510.jpg,NA,0.14770459081836326
UCSB-IZC00034521,0.165,0.501,alec,UCSB-IZC00034521.jpg,NA,0.16467065868263475
UCSB-IZC00034524,0.166,0.499,alec,UCSB-IZC00034524.jpg,NA,0.16633266533066132
UCSB-IZC00034526,0.161,0.5,alec,UCSB-IZC00034526.jpg,NA,0.161
UCSB-IZC00034540,0.127,0.501,alec,UCSB-IZC00034540.jpg,NA,0.12674650698602793
UCSB-IZC00034542,0.179,0.5,alec,UCSB-IZC00034542.jpg,NA,0.179
UCSB-IZC00034545,0.16,0.499,alec,UCSB-IZC00034545.jpg,NA,0.16032064128256512
UCSB-IZC00034556,0.17,0.499,alec,UCSB-IZC00034556.jpg,NA,0.17034068136272545
UCSB-IZC00034557,0.169,0.5,alec,UCSB-IZC00034557.jpg,NA,0.169
UCSB-IZC00034564,0.163,0.503,alec,UCSB-IZC00034564.jpg,NA,0.1620278330019881
UCSB-IZC00034582,0.163,0.5,alec,UCSB-IZC00034582.jpg,NA,0.163
UCSB-IZC00034588,0.163,0.5,alec,UCSB-IZC00034588.jpg,NA,0.163
UCSB-IZC00034594,0.16,0.5,alec,UCSB-IZC00034594.jpg,NA,0.16
UCSB-IZC00034607,0.16,0.499,alec,UCSB-IZC00034607.jpg,NA,0.16032064128256512
UCSB-IZC00034612,0.159,0.497,alec,UCSB-IZC00034612.jpg,NA,0.15995975855130784
UCSB-IZC00034615,0.17,0.502,alec,UCSB-IZC00034615.jpg,NA,0.16932270916334663
UCSB-IZC00034993,0.149,0.501,alec,UCSB-IZC00034993.jpg,NA,0.14870259481037923
UCSB-IZC00034994,0.165,0.501,alec,UCSB-IZC00034994.jpg,NA,0.16467065868263475
UCSB-IZC00035077,0.154,0.499,alec,UCSB-IZC00035077.jpg,NA,0.15430861723446893
